rns,mrt,smsa,med,iq,kww,age,s,expr,tenure,lnw
0,0,1,8,93,35,19,12,.46200001,0,5.9000001
0,0,1,14,119,41,23,16,0,2,5.4380002
0,0,1,14,108,46,20,14,.42300001,1,5.71
0,0,1,12,96,32,18,12,.333,1,5.4809999
0,1,1,6,74,27,26,9,9.0129995,3,5.927
0,0,1,8,91,24,16,9,.333,1,4.8039999
0,1,1,8,114,50,30,18,1.205,6,6.5120001
0,1,0,14,111,37,23,15,1.25,1,5.8080001
0,1,1,12,95,44,22,12,2.0480001,2,5.737
0,1,0,13,132,44,30,18,1.372,5,6.382
0,1,0,16,102,45,22,14,0,1,5.743
0,0,0,12,125,40,20,14,.36500001,1,6.2150002
0,0,1,10,119,24,20,16,.69,0,5.257
0,1,1,12,118,47,26,16,2.3889999,0,6.6199999
0,1,1,6,105,37,21,10,4.3779998,2,5.7140002
0,0,1,12,109,39,22,12,0,2,5.5949998
0,1,1,10,72,36,29,11,8.7869997,1,5.8080001
0,0,1,12,105,29,21,12,0,0,5.9000001
0,0,1,8,101,34,18,11,.37799999,1,5.2979999
0,0,1,12,123,37,21,12,1.786,3,5.7839999
0,1,1,12,113,49,26,16,.47,7,6.2249999
0,0,1,10,95,36,24,12,.29499999,1,5.743
0,1,0,12,145,50,29,16,8.3409996,4,6.869
0,0,1,11,114,35,21,16,1,1,6.1220002
0,0,1,16,124,32,21,16,1.447,2,6.2399998
0,1,1,12,93,40,21,12,2.378,2,5.1529999
1,1,1,8,115,39,27,18,4.4499998,0,6.5689998
0,1,1,13,125,41,26,17,2.358,6,6.3579998
0,0,1,16,128,35,28,18,.89700001,5,6.1360002
0,1,1,8,103,40,25,12,6.7680001,1,5.927
0,0,1,12,98,41,21,14,2.378,3,6.2150002
0,0,1,12,108,41,18,13,0,1,5.5209999
0,0,0,18,129,40,27,18,0,1,6.0159998
0,1,1,17,132,42,24,16,1.475,2,6.3579998
0,0,1,8,92,24,19,13,0,2,5.5209999
0,1,1,15,106,35,20,13,0,1,6.1479998
0,1,1,13,105,37,21,16,2.2690001,0,5.8579998
0,1,1,12,123,46,25,17,0,3,6.3239999
0,1,1,8,108,48,24,12,6.3330002,2,5.7529998
0,0,1,12,122,47,23,16,.47,1,6.2360001
0,1,1,12,109,44,24,12,1.712,1,5.9910002
0,1,1,10,100,40,26,12,0,3,5.6279998
0,1,1,14,125,50,23,18,.79500002,1,6.0910001
0,0,1,12,122,41,27,14,1.869,7,6.1090002
0,1,1,12,105,34,21,16,0,2,5.4419999
0,0,1,12,94,37,22,16,.42300001,1,5.553
0,1,1,12,102,36,20,12,2.1670001,3,5.6170001
0,0,1,12,109,47,30,12,6.533,4,6.1760001
0,1,1,12,105,45,24,12,8.1009998,2,5.704
1,1,1,12,134,46,28,18,.90600002,1,5.5450001
0,0,1,12,108,32,17,12,.92299998,0,5.3839998
0,1,1,12,104,36,22,16,2.4419999,1,5.8889999
0,1,1,12,112,35,18,12,.46200001,1,5.165
0,0,1,11,120,49,23,18,0,3,5.6279998
0,0,1,17,124,40,22,16,1.189,1,5.3379998
1,0,1,12,103,34,17,12,.46200001,1,5.3080001
0,0,1,12,115,45,22,16,0,0,5.7459998
0,1,1,6,96,33,21,12,3.3329999,1,5.572
0,1,1,12,123,48,26,17,.884,4,5.6240001
0,0,1,12,98,34,17,12,.37799999,3,5.165
0,1,1,12,96,34,21,12,4.3330002,1,5.6350002
0,1,1,12,89,47,25,12,5,5,5.8579998
0,0,1,9,93,20,18,12,.37400001,1,5.2360001
0,0,1,12,82,32,19,12,1.916,1,5.5209999
0,1,1,12,120,45,27,15,1.378,2,6.5510001
